brand,model,year,category,geometrygeeks_slug,in_catalog
Specialized,Tarmac SL8,2024,All-round race,specialized-tarmac-sl8-2024,true
Specialized,Tarmac SL7,2021,All-round race,specialized-tarmac-sl7-2021,true
Specialized,Tarmac SL6,2019,All-round race,specialized-tarmac-sl6-2019,true
Specialized,Allez Sprint,2022,Aero race,specialized-allez-sprint-2022,true
Specialized,Roubaix SL8,2024,Endurance road,specialized-roubaix-sl8-2024,true
Specialized,Aethos,2021,Climbing,specialized-aethos-2021,true
Specialized,Crux,2022,Gravel,specialized-crux-2022,true
Specialized,S-Works Venge,2019,Aero race,specialized-s-works-venge-2019,true
Specialized,S-Works Diverge STR,2022,Gravel,specialized-s-works-diverge-str-2022,false
Specialized,Diverge 4,2026,Gravel,specialized-diverge-4-2026,true
Trek,Madone Gen 8,2024,Aero race,trek-madone-gen8-2024,true
Trek,Madone SLR Gen 7,2023,Aero race,trek-madone-slr-gen-7-2023,false
Trek,Emonda SLR 7,2021,Climbing,trek-emonda-slr-7-2021,false
Trek,Domane SLR Gen 4,2023,Endurance road,trek-domane-slr-gen-4-2023,false
Trek,Boone,2024,Gravel,trek-boone-2024,false
Trek,Checkpoint SL 6,2021,Gravel,trek-checkpoint-sl-6-2021,false
Trek,Checkpoint SL 7 Gen 3,2026,Gravel,trek-checkpoint-sl-7-gen-3-2026,false
Giant,TCR Advanced SL 0,2024,All-round race,giant-tcr-advanced-sl-0-2024,false
Giant,TCR Advanced Pro Disc,2021,All-round race,giant-tcr-advanced-pro-disc-2021,false
Giant,Propel Advanced SL,2024,Aero race,giant-propel-advanced-sl-2024,true
Giant,Defy Advanced Pro 1,2022,Endurance road,giant-defy-advanced-pro-1-2022,false
Giant,Revolt Advanced Pro,2022,Gravel,giant-revolt-advanced-pro-2022,true
Giant,Revolt X Advanced Pro,2023,Gravel,giant-revolt-x-advanced-pro-2023,false
Cannondale,SuperSix EVO,2022,All-round race,cannondale-super-six-evo-2022,false
Cannondale,SuperSix EVO Hi-MOD,2024,All-round race,cannondale-supersix-evo-hi-mod-2024,false
Cannondale,CAAD 13,2021,All-round race,cannondale-caad-13-2021,false
Cannondale,Synapse,2022,Endurance road,cannondale-synapse-2022,false
Cannondale,SuperX,2021,Gravel,cannondale-superx-2021,false
Cannondale,Topstone Carbon Gen 2,2023,Gravel,cannondale-topstone-carbon-2023,false
Cannondale,Topstone Carbon,2025,Gravel,cannondale-topstone-carbon-2025-1,false
Scott,Addict RC,2023,All-round race,scott-addict-rc-2023,false
Scott,Addict RC Ultimate,2021,All-round race,scott-addict-rc-ultimate-2021,false
Scott,Foil RC,2023,Aero race,scott-foil-rc-2023,false
Scott,Speedster,2021,All-round race,scott-speedster-2021,false
Scott,Addict Gravel,2022,Gravel,scott-addict-gravel-2022,false
Canyon,Aeroad CFR,2021,Aero race,canyon-aeroad-cfr-2021,true
Canyon,Ultimate CFR,2023,All-round race,canyon-ultimate-cfr-2023,false
Canyon,Endurance CFR Di2,2023,Endurance road,canyon-endurance-cfr-di2-2023,false
Canyon,Inflite CFR,2023,Gravel,canyon-inflite-cfr-2023,false
Canyon,Grail CFR,2024,Gravel,canyon-grail-cfr-2024,false
Cervelo,S5,2023,Aero race,cervelo-s5-2023,true
Cervelo,R5,2023,All-round race,cervelo-r5-2023,false
Cervelo,Caledonia,2021,Endurance road,cervelo-caledonia-2021,true
Cervelo,Soloist,2023,Aero race,cervelo-soloist-2023,false
Cervelo,Aspero,2024,Gravel,cervelo-aspero-2024,false
Cervelo,New Aspero-5,2025,Gravel,cervelo-new-aspero-5-2025,false
BMC,Teammachine SLR,2023,All-round race,bmc-teammachine-slr-2023,false
BMC,Roadmachine,2024,Endurance road,bmc-roadmachine-2024,false
BMC,Timemachine 01 Disc One,2022,Aero race,bmc-timemachine-01-disc-one-2022,false
BMC,URS One,2022,Gravel,bmc-urs-one-2022,false
Pinarello,Dogma F,2022,All-round race,pinarello-dogma-f-2022,false
Pinarello,Dogma X,2023,Gravel,pinarello-dogma-x-2023-3,false
Pinarello,Prince Disc,2022,All-round race,pinarello-prince-disc-2022,false
Pinarello,Paris,2022,Endurance road,pinarello-paris-2022,false
Pinarello,X1,2023,Endurance road,pinarello-x1-2023,false
Colnago,V4Rs,2023,All-round race,colnago-v4rs-2023,false
Colnago,C68,2022,All-round race,colnago-c68-2022,false
Colnago,V3Rs,2020,All-round race,colnago-v3rs-2020,false
Colnago,G4-X,2024,Gravel,colnago-g4-x-2024,false
Colnago,Epoi,2023,Endurance road,colnago-epoi-2023,false
Colnago,Y1Rs,2023,Aero race,colnago-y1rs-2023,true
Wilier,Cento 10 SL,2021,Aero race,wilier-triestina-cento-10-sl-2021,false
Wilier,Cento10 Air,2022,Aero race,wilier-cento10-air-2022,false
Wilier,0 SLR (Zero),2024,Climbing,wilier-0-slr-zero-2024,false
Wilier,Filante SLR,2024,Aero race,wilier-filante-slr-2024,false
Wilier,Filante SLR ID2,2025,Aero race,wilier-filante-slr-id2-2025,false
Wilier,Verticale SLR,2024,Climbing,wilier-verticale-slr-2024,false
Wilier,Rave SLR,2022,Gravel,wilier-triestina-rave-slr-2022,false
Wilier,Rave SL,2024,Gravel,wilier-rave-sl-2024,false
Wilier,Rave SLR ID2,2026,Gravel,wilier-rave-slr-id2-2026,false
De Rosa,Protos,2020,All-round race,de-rosa-protos-2020,false
De Rosa,Merak,2023,All-round race,de-rosa-merak-2023,false
De Rosa,SK Pininfarina,2020,All-round race,de-rosa-sk-pininfarina-2020,false
Bianchi,Oltre RC/Pro,2023,All-round race,bianchi-oltre-rcpro-2023,false
